Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	BEGUM
Comments:	
Date:	4/30/17 11:03 AM
Duration:	03:30:14'48
Activities:	Ciclo indoor
Max HR:	152
Average HR:	77
Calories:	167
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1493568513520	2017-04-30 11:08:33.520	00:04:37	138	OK
1493568514530	2017-04-30 11:08:34.530	00:04:37	138	OK
1493568515513	2017-04-30 11:08:35.513	00:04:39	138	OK
1493568517005	2017-04-30 11:08:37.005	00:04:39	138	OK
1493568517515	2017-04-30 11:08:37.515	00:04:40	138	OK
1493568518500	2017-04-30 11:08:38.500	00:04:42	138	OK
1493568519504	2017-04-30 11:08:39.504	00:04:43	138	OK
1493568520521	2017-04-30 11:08:40.521	00:04:44	138	OK
1493568521546	2017-04-30 11:08:41.546	00:04:45	138	OK
1493568522508	2017-04-30 11:08:42.508	00:04:46	137	OK
1493568523508	2017-04-30 11:08:43.508	00:04:47	137	OK
1493568524489	2017-04-30 11:08:44.489	00:04:47	136	OK
1493568525509	2017-04-30 11:08:45.509	00:04:48	137	OK
1493568526495	2017-04-30 11:08:46.495	00:04:50	136	OK
1493568527511	2017-04-30 11:08:47.511	00:04:50	135	OK
1493568528496	2017-04-30 11:08:48.496	00:04:52	135	OK
1493568529982	2017-04-30 11:08:49.982	00:04:53	134	OK
1493568530482	2017-04-30 11:08:50.482	00:04:53	134	OK
1493568531471	2017-04-30 11:08:51.471	00:04:55	134	OK
1493568532498	2017-04-30 11:08:52.498	00:04:55	134	OK
1493568533472	2017-04-30 11:08:53.472	00:04:55	133	OK
1493568534502	2017-04-30 11:08:54.502	00:04:58	133	OK
1493568535480	2017-04-30 11:08:55.480	00:04:59	133	OK
1493568536476	2017-04-30 11:08:56.476	00:05:00	133	OK
1493568537459	2017-04-30 11:08:57.459	00:05:01	133	OK
1493568538468	2017-04-30 11:08:58.468	00:05:02	133	OK
1493568539473	2017-04-30 11:08:59.473	00:05:03	133	OK
1493568540467	2017-04-30 11:09:00.467	00:05:03	133	OK
1493568541451	2017-04-30 11:09:01.451	00:05:05	133	OK
1493568542941	2017-04-30 11:09:02.941	00:05:06	133	OK
1493568543453	2017-04-30 11:09:03.453	00:05:07	133	OK
1493568544448	2017-04-30 11:09:04.448	00:05:08	133	OK
1493568545451	2017-04-30 11:09:05.451	00:05:09	134	OK
1493568546452	2017-04-30 11:09:06.452	00:05:10	134	OK
1493568547449	2017-04-30 11:09:07.449	00:05:11	135	OK
1493568548443	2017-04-30 11:09:08.443	00:05:12	136	OK
1493568549443	2017-04-30 11:09:09.443	00:05:13	137	OK
1493568550428	2017-04-30 11:09:10.428	00:05:14	138	OK
1493568551468	2017-04-30 11:09:11.468	00:05:14	139	OK
1493568552419	2017-04-30 11:09:12.419	00:05:16	139	OK
1493568553430	2017-04-30 11:09:13.430	00:05:17	140	OK
1493568554419	2017-04-30 11:09:14.419	00:05:18	141	OK
1493568555411	2017-04-30 11:09:15.411	00:05:18	141	OK
1493568556412	2017-04-30 11:09:16.412	00:05:20	142	OK
1493568557406	2017-04-30 11:09:17.406	00:05:21	141	OK
1493568558424	2017-04-30 11:09:18.424	00:05:22	141	OK
1493568559407	2017-04-30 11:09:19.407	00:05:23	140	OK
1493568560456	2017-04-30 11:09:20.456	00:05:24	141	OK
1493568561419	2017-04-30 11:09:21.419	00:05:24	140	OK
1493568562409	2017-04-30 11:09:22.409	00:05:26	140	OK
1493568563392	2017-04-30 11:09:23.392	00:05:27	139	OK
1493568564396	2017-04-30 11:09:24.396	00:05:28	139	OK
1493568565387	2017-04-30 11:09:25.387	00:05:28	139	OK
1493568566388	2017-04-30 11:09:26.388	00:05:30	139	OK
1493568567382	2017-04-30 11:09:27.382	00:05:31	139	OK
1493568568963	2017-04-30 11:09:28.963	00:05:32	139	OK
1493568569390	2017-04-30 11:09:29.390	00:05:33	139	OK
1493568570385	2017-04-30 11:09:30.385	00:05:34	139	OK
1493568571392	2017-04-30 11:09:31.392	00:05:34	139	OK
1493568572390	2017-04-30 11:09:32.390	00:05:36	139	OK
1493568574371	2017-04-30 11:09:34.371	00:05:37	139	OK
1493568574955	2017-04-30 11:09:34.955	00:05:37	139	OK
1493568575364	2017-04-30 11:09:35.364	00:05:39	139	OK
1493568577410	2017-04-30 11:09:37.410	00:05:40	138	OK
1493568577436	2017-04-30 11:09:37.436	00:05:41	136	OK
1493568578374	2017-04-30 11:09:38.374	00:05:41	135	OK
1493568579949	2017-04-30 11:09:39.949	00:05:43	134	OK
1493568580356	2017-04-30 11:09:40.356	00:05:43	132	OK
1493568581942	2017-04-30 11:09:41.942	00:05:45	132	OK
1493568582354	2017-04-30 11:09:42.354	00:05:45	131	OK
1493568583354	2017-04-30 11:09:43.354	00:05:47	131	OK
1493568584350	2017-04-30 11:09:44.350	00:05:48	131	OK
1493568585339	2017-04-30 11:09:45.339	00:05:48	131	OK
1493568587390	2017-04-30 11:09:47.390	00:05:48	130	OK
1493568587351	2017-04-30 11:09:47.351	00:05:50	131	OK
1493568588366	2017-04-30 11:09:48.366	00:05:52	128	OK
1493568589357	2017-04-30 11:09:49.357	00:05:53	128	OK
1493568590351	2017-04-30 11:09:50.351	00:05:53	128	OK
1493568591346	2017-04-30 11:09:51.346	00:05:55	127	OK
1493568592361	2017-04-30 11:09:52.361	00:05:56	128	OK
1493568593839	2017-04-30 11:09:53.839	00:05:56	128	OK
1493568594822	2017-04-30 11:09:54.822	00:05:58	127	OK
1493568595322	2017-04-30 11:09:55.322	00:05:58	127	OK
1493568596322	2017-04-30 11:09:56.322	00:05:59	127	OK
1493568597332	2017-04-30 11:09:57.332	00:06:01	127	OK
1493568598314	2017-04-30 11:09:58.314	00:06:01	126	OK
1493568599305	2017-04-30 11:09:59.305	00:06:03	125	OK
1493568600333	2017-04-30 11:10:00.333	00:06:04	125	OK
1493568601311	2017-04-30 11:10:01.311	00:06:04	124	OK
1493568602311	2017-04-30 11:10:02.311	00:06:06	124	OK
1493568603809	2017-04-30 11:10:03.809	00:06:06	123	OK
1493568604804	2017-04-30 11:10:04.804	00:06:06	124	OK
1493568606293	2017-04-30 11:10:06.293	00:06:07	123	OK
1493568607300	2017-04-30 11:10:07.300	00:06:10	123	OK
1493568608299	2017-04-30 11:10:08.299	00:06:11	122	OK
1493568609791	2017-04-30 11:10:09.791	00:06:12	120	OK
1493568609783	2017-04-30 11:10:09.783	00:06:12	121	OK
1493568610801	2017-04-30 11:10:10.801	00:06:14	119	OK
1493568611803	2017-04-30 11:10:11.803	00:06:14	118	OK
1493568612786	2017-04-30 11:10:12.786	00:06:16	118	OK
1493568613784	2017-04-30 11:10:13.784	00:06:17	117	OK
1493568614802	2017-04-30 11:10:14.802	00:06:18	116	OK
1493568615794	2017-04-30 11:10:15.794	00:06:19	115	OK
1493568616813	2017-04-30 11:10:16.813	00:06:19	115	OK
1493568617761	2017-04-30 11:10:17.761	00:06:19	114	OK
1493568618760	2017-04-30 11:10:18.760	00:06:22	114	OK
1493568620255	2017-04-30 11:10:20.255	00:06:22	114	OK
1493568620754	2017-04-30 11:10:20.754	00:06:24	115	OK
1493568621758	2017-04-30 11:10:21.758	00:06:25	116	OK
1493568622774	2017-04-30 11:10:22.774	00:06:26	117	OK
1493568623752	2017-04-30 11:10:23.752	00:06:27	117	OK
1493568624763	2017-04-30 11:10:24.763	00:06:27	118	OK
1493568625762	2017-04-30 11:10:25.762	00:06:28	119	OK
1493568627240	2017-04-30 11:10:27.240	00:06:30	120	OK
